Original	Obfused	Corrected
his	his	his
dismissal	dismissal	_UNK
from	from	from
it	it	it
,	,	,
and	and	and
this	this	this
life	life	life
together	together	together
.	.	.
Like	Like	Like
the	the	the
fabled	fabled	_UNK
rustic	rustic	a
who	who	who
raised	raised	raised
the	the	the
Devil	Devil	Devil
with	with	with
infinite	infinite	_UNK
pains	pains	pains
,	,	,
and	and	and
was	was	was
so	so	so
terrified	terrified	terrified
at	at	at
the	the	the
sight	sight	sight
of	of	of
him	him	him
that	that	that
he	he	he
could	could	could
ask	ask	ask
the	the	a
Enemy	Enemy	_UNK
no	no	no
question	question	question
,	,	,
but	but	but
immediately	immediately	immediately
fled	fled	fled
;	;	;
so	so	so
,	,	,
Monseigneur	Monseigneur	_UNK
,	,	,
after	after	after
boldly	boldly	boldly
reading	reading	reading
the	the	the
Lord	Lord	Lord
'	'	'
s	s	s
Prayer	Prayer	Prayer
backwards	backwards	backwards
for	for	for
a	the	the
great	great	great
number	number	number
of	of	of
years	years	years
,	,	,
and	and	and
performing	performing	performing
many	many	many
other	other	other
potent	potent	_UNK
spells	spells	_UNK
for	for	for
compelling	compelling	compelling
the	the	a
Evil	Evil	_UNK
One	One	One
,	,	,
no	no	no
sooner	sooner	sooner
beheld	beheld	beheld
him	him	him
in	in	in
his	his	his
terrors	terrors	defied
than	than	than
he	he	he
took	took	took
to	to	to
his	his	his
noble	noble	noble
heels	heels	heels
.	.	.
The	The	The
shining	shining	shining
Bull	Bull	Bull
'	'	'
s	s	s
Eye	Eye	_UNK
of	of	of
the	a	the
Court	Court	_UNK
was	was	was
gone	gone	gone
,	,	,
or	or	or
it	it	it
would	would	would
have	have	have
been	been	been
the	the	the
mark	mark	mark
for	for	for
a	the	the
hurricane	hurricane	_UNK
of	of	of
national	national	_UNK
bullets	bullets	_UNK
.	.	.
It	It	It
had	had	had
never	never	never
been	been	been
a	a	a
good	good	good
eye	eye	eye
to	to	to
see	see	see
with--had	with--had	_UNK
long	long	long
had	had	had
the	the	the
mote	mote	_UNK
in	in	in
it	it	it
of	of	of
Lucifer	Lucifer	_UNK
'	'	'
s	s	s
pride	pride	pride
,	,	,
Sardanapalus	Sardanapalus	_UNK
'	'	'
s	s	s
luxury	luxury	luxury
,	,	,
and	and	and
a	the	the
mole	mole	_UNK
'	'	'
s	s	s
blindness--but	blindness--but	_UNK
it	it	it
had	had	had
dropped	dropped	dropped
out	out	out
and	and	and
was	was	was
gone	gone	gone
.	.	.
The	The	The
Court	Court	_UNK
,	,	,
from	from	from
that	that	that
exclusive	exclusive	exclusive
inner	inner	the
circle	circle	circle
to	to	to
its	its	its
outermost	outermost	_UNK
rotten	rotten	rotten
ring	ring	ring
of	of	of
intrigue	intrigue	_UNK
,	,	,
corruption	corruption	_UNK
,	,	,
and	and	and
dissimulation	dissimulation	homewards
,	,	,
was	was	was
all	all	all
gone	gone	gone
together	together	together
.	.	.
Royalty	Royalty	_UNK
was	was	was
gone	gone	gone
;	;	;
had	had	had
been	been	been
besieged	besieged	_UNK
in	in	in
its	its	its
Palace	Palace	_UNK
and	and	and
""""	""""	""""
suspended	suspended	suspended
,	,	,
""""	""""	""""
when	when	when
the	the	the
last	last	last
tidings	tidings	_UNK
came	came	came
over	over	over
.	.	.
The	The	The
August	August	_UNK
of	of	of
the	the	the
year	year	year
one	one	one
thousand	thousand	thousand
seven	seven	seven
hundred	hundred	hundred
and	and	and
ninety-two	ninety-two	_UNK
was	was	was
come	come	come
,	,	,
and	and	and
Monseigneur	Monseigneur	_UNK
was	was	was
by	by	by
this	this	this
time	time	time
scattered	scattered	scattered
far	far	far
and	and	and
wide	wide	wide
.	.	.
As	As	As
was	was	was
natural	natural	natural
,	,	,
the	the	a
head-quarters	head-quarters	_UNK
and	and	and
great	great	great
gathering-place	gathering-place	_UNK
of	of	of
Monseigneur	Monseigneur	_UNK
,	,	,
in	in	in
London	London	London
,	,	,
was	was	was
Tellson	Tellson	_UNK
'	'	'
s	s	s
Bank	Bank	Bank
.	.	.
Spirits	Spirits	emptied
are	are	are
supposed	supposed	supposed
to	to	to
haunt	haunt	learn
the	a	the
places	places	places
where	where	where
their	their	their
bodies	bodies	bodies
most	most	most
resorted	resorted	,
,	,	,
and	and	and
Monseigneur	Monseigneur	_UNK
without	without	without
a	a	the
guinea	guinea	_UNK
haunted	haunted	prescribed
the	the	the
spot	spot	spot
where	where	where
his	his	his
guineas	guineas	guineas
used	used	used
to	to	to
be	be	be
.	.	.
Moreover	Moreover	_UNK
,	,	,
it	it	it
was	was	was
the	the	the
spot	spot	spot
to	to	to
which	which	which
such	such	such
French	French	French
intelligence	intelligence	intelligence
as	as	as
was	was	was
most	most	most
to	to	to
be	be	be
relied	relied	haggardness
upon	upon	upon
,	,	,
came	came	came
quickest	quickest	encounter
.	.	.
Again	Again	Again
:	:	:
Tellson	Tellson	_UNK
'	'	'
s	s	s
was	was	was
a	the	the
munificent	munificent	_UNK
house	house	house
,	,	,
and	and	and
extended	extended	extended
great	great	great
liberality	liberality	liberality
to	to	to
old	old	old
customers	customers	_UNK
who	who	who
had	had	had
fallen	fallen	fallen
from	from	from
their	their	their
high	high	high
estate	estate	corroboration
.	.	.
Again	Again	Again
:	:	:
those	those	those
nobles	nobles	_UNK
who	who	who
had	had	had
seen	seen	seen
the	the	a
coming	coming	coming
storm	storm	_UNK
in	in	in
time	time	time
,	,	,
and	and	and
anticipating	anticipating	,
plunder	plunder	plunder
or	or	or
confiscation	confiscation	_UNK
,	,	,
had	had	had
made	made	made
provident	provident	_UNK
remittances	remittances	_UNK
to	to	to
Tellson	Tellson	_UNK
'	'	'
s	s	s
,	,	,
were	were	were
always	always	always
to	to	to
be	be	be
heard	heard	heard
of	of	of
there	there	there
by	by	by
their	their	their
needy	needy	_UNK
brethren	brethren	_UNK
.	.	.
To	To	To
which	which	which
it	it	it
must	must	must
be	be	be
added	added	added
that	that	that
every	every	every
new-comer	new-comer	_UNK
from	from	from
France	France	,
reported	reported	reported
himself	himself	himself
and	and	and
his	his	his
tidings	tidings	_UNK
at	at	at
Tellson	Tellson	_UNK
'	'	'
s	s	s
,	,	,
almost	almost	almost
as	as	as
a	a	the
matter	matter	matter
of	of	of
course	course	course
.	.	.
For	For	For
such	such	such
variety	variety	variety
of	of	of
reasons	reasons	reasons
,	,	,
Tellson	Tellson	_UNK
'	'	'
s	s	s
was	was	was
at	at	at
that	that	that
time	time	time
,	,	,
as	as	as
to	to	to
French	French	French
intelligence	intelligence	intelligence
,	,	,
a	a	a
kind	kind	kind
of	of	of
High	High	High
Exchange	Exchange	_UNK
;	;	;
and	and	and
this	this	this
was	was	was
so	so	so
well	well	well
known	known	known
to	to	to
the	the	the
public	public	public
,	,	,
and	and	and
the	the	the
inquiries	inquiries	inquiries
made	made	made
there	there	there
were	were	were
in	in	in
consequence	consequence	consequence
so	so	so
numerous	numerous	numerous
,	,	,
that	that	that
Tellson	Tellson	_UNK
'	'	'
s	s	s
sometimes	sometimes	sometimes
wrote	wrote	wrote
the	the	the
latest	latest	_UNK
news	news	news
out	out	out
in	in	in
a	a	a
line	line	line
or	or	or
so	so	so
and	and	and
posted	posted	_UNK
it	it	it
in	in	in
the	the	the
Bank	Bank	Bank
windows	windows	windows
,	,	,
for	for	for
all	all	all
who	who	who
ran	ran	ran
through	through	through
Temple	Temple	_UNK
Bar	Bar	Bar
to	to	to
read	read	read
.	.	.
On	On	On
a	a	a
steaming	steaming	steaming
,	,	,
misty	misty	misty
afternoon	afternoon	afternoon
,	,	,
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
sat	sat	sat
at	at	at
his	his	his
desk	desk	desk
,	,	,
and	and	and
Charles	Charles	Charles
Darnay	Darnay	_UNK
stood	stood	stood
leaning	leaning	leaning
on	on	on
it	it	it
,	,	,
talking	talking	talking
with	with	with
him	him	him
in	in	in
a	a	a
low	low	low
voice	voice	voice
.	.	.
The	The	The
penitential	penitential	_UNK
den	den	den
once	once	once
set	set	set
apart	apart	apart
for	for	for
interviews	interviews	_UNK
with	with	with
the	a	the
House	House	House
,	,	,
was	was	was
now	now	now
the	the	the
news-Exchange	news-Exchange	_UNK
,	,	,
and	and	and
was	was	was
filled	filled	filled
to	to	to
overflowing	overflowing	overflowing
.	.	.
It	It	It
was	was	was
within	within	within
half	half	half
an	an	an
hour	hour	hour
or	or	or
so	so	so
of	of	of
the	the	the
time	time	time
of	of	of
closing	closing	closing
.	.	.
""""	""""	""""
But	But	But
,	,	,
although	although	although
you	you	you
are	are	are
the	the	the
youngest	youngest	youngest
man	man	man
that	that	that
ever	ever	ever
lived	lived	lived
,	,	,
""""	""""	""""
said	said	said
Charles	Charles	Charles
Darnay	Darnay	_UNK
,	,	,
rather	rather	rather
hesitating	hesitating	hesitating
,	,	,
""""	""""	""""
I	I	I
must	must	must
still	still	still
suggest	suggest	suggest
to	to	to
you--	you--	the
""""	""""	""""
""""	""""	""""
I	I	I
understand	understand	understand
.	.	.
That	That	That
I	I	I
am	am	am
too	too	too
old	old	old
?	?	?
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
.	.	.
""""	""""	""""
Unsettled	Unsettled	_UNK
weather	weather	weather
,	,	,
a	a	a
long	long	long
journey	journey	journey
,	,	,
uncertain	uncertain	uncertain
means	means	means
of	of	of
travelling	travelling	travelling
,	,	,
a	the	the
disorganised	disorganised	_UNK
country	country	country
,	,	,
a	a	the
city	city	city
that	that	that
may	may	may
not	not	not
be	be	be
even	even	even
safe	safe	safe
for	for	for
you	you	you
.	.	.
""""	""""	""""
""""	""""	""""
My	My	My
dear	dear	dear
Charles	Charles	Charles
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
with	with	with
cheerful	cheerful	cheerful
confidence	confidence	confidence
,	,	,
""""	""""	""""
you	you	you
touch	touch	touch
some	some	some
of	of	of
the	the	the
reasons	reasons	reasons
for	for	for
my	my	my
going	going	going
:	:	:
not	not	not
for	for	for
my	my	my
staying	staying	senior
away	away	away
.	.	.
It	It	It
is	is	is
safe	safe	safe
enough	enough	enough
for	for	for
me	me	me
;	;	;
nobody	nobody	nobody
will	will	will
care	care	care
to	to	to
interfere	interfere	interfere
with	with	with
an	an	an
old	old	old
fellow	fellow	fellow
of	of	of
hard	hard	hard
upon	upon	upon
fourscore	fourscore	_UNK
when	when	when
there	there	there
are	are	are
so	so	so
many	many	many
people	people	people
there	there	there
much	much	much
better	better	better
worth	worth	worth
interfering	interfering	_UNK
with	with	with
.	.	.
As	As	As
to	to	to
its	its	its
being	being	being
a	a	the
disorganised	disorganised	_UNK
city	city	city
,	,	,
if	if	if
it	it	it
were	were	were
not	not	not
a	a	the
disorganised	disorganised	_UNK
city	city	city
there	there	there
would	would	would
be	be	be
no	no	no
occasion	occasion	occasion
to	to	to
send	send	send
somebody	somebody	somebody
from	from	from
our	our	our
House	House	House
here	here	here
to	to	to
our	our	our
House	House	House
there	there	there
,	,	,
who	who	who
knows	knows	knows
the	a	the
city	city	city
and	and	and
the	the	the
business	business	business
,	,	,
of	of	of
old	old	old
,	,	,
and	and	and
is	is	is
in	in	in
Tellson	Tellson	_UNK
'	'	'
s	s	s
confidence	confidence	confidence
.	.	.
As	As	As
to	to	to
the	the	the
uncertain	uncertain	uncertain
travelling	travelling	travelling
,	,	,
the	the	a
long	long	long
journey	journey	journey
,	,	,
and	and	and
the	the	the
winter	winter	winter
weather	weather	weather
,	,	,
if	if	if
I	I	I
were	were	were
not	not	not
prepared	prepared	prepared
to	to	to
submit	submit	submit
myself	myself	myself
to	to	to
a	the	a
few	few	few
inconveniences	inconveniences	_UNK
for	for	for
the	the	the
sake	sake	sake
of	of	of
Tellson	Tellson	_UNK
'	'	'
s	s	s
,	,	,
after	after	after
all	all	all
these	these	these
years	years	years
,	,	,
who	who	who
ought	ought	ought
to	to	to
be	be	be
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
wish	wish	wish
I	I	I
were	were	were
going	going	going
myself	myself	myself
,	,	,
""""	""""	""""
said	said	said
Charles	Charles	Charles
Darnay	Darnay	_UNK
,	,	,
somewhat	somewhat	somewhat
restlessly	restlessly	restlessly
,	,	,
and	and	and
like	like	like
one	one	one
thinking	thinking	thinking
aloud	aloud	aloud
.	.	.
""""	""""	""""
Indeed	Indeed	Indeed
!	!	!
You	You	You
are	are	are
a	the	the
pretty	pretty	pretty
fellow	fellow	fellow
to	to	to
object	object	object
and	and	and
advise	advise	advise
!	!	!
""""	""""	""""
exclaimed	exclaimed	exclaimed
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
.	.	.
""""	""""	""""
You	You	You
wish	wish	wish
you	you	you
were	were	were
going	going	going
yourself	yourself	yourself
?	?	?
And	And	And
you	you	you
a	the	the
Frenchman	Frenchman	_UNK
born	born	born
?	?	?
You	You	You
are	are	are
a	the	a
wise	wise	wise
counsellor	counsellor	and
.	.	.
""""	""""	""""
""""	""""	""""
My	My	My
dear	dear	dear
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
it	it	it
is	is	is
because	because	because
I	I	I
am	am	am
a	the	the
Frenchman	Frenchman	_UNK
born	born	born
,	,	,
that	that	that
the	the	the
thought	thought	thought
(	(	(
which	which	which
I	I	I
did	did	did
not	not	not
mean	mean	mean
to	to	to
utter	utter	utter
here	here	here
,	,	,
however	however	however
)	)	)
has	has	has
passed	passed	passed
through	through	through
my	my	my
mind	mind	mind
often	often	often
.	.	.
One	One	One
cannot	cannot	cannot
help	help	help
thinking	thinking	thinking
,	,	,
having	having	having
had	had	had
some	some	some
sympathy	sympathy	sympathy
for	for	for
the	a	the
miserable	miserable	miserable
people	people	people
,	,	,
and	and	and
having	having	having
abandoned	abandoned	abandoned
something	something	something
to	to	to
them	them	them
,	,	,
""""	""""	""""
he	he	he
spoke	spoke	spoke
here	here	here
in	in	in
his	his	his
former	former	former
thoughtful	thoughtful	thoughtful
manner	manner	manner
,	,	,
""""	""""	""""
that	that	that
one	one	one
might	might	might
be	be	be
listened	listened	listened
to	to	to
,	,	,
and	and	and
might	might	might
have	have	have
the	a	the
power	power	power
to	to	to
persuade	persuade	_UNK
to	to	to
some	some	some
restraint	restraint	restraint
.	.	.
Only	Only	Only
last	last	last
night	night	night
,	,	,
after	after	after
you	you	you
had	had	had
left	left	left
us	us	us
,	,	,
when	when	when
I	I	I
was	was	was
talking	talking	talking
to	to	to
Lucie--	Lucie--	_UNK
""""	""""	""""
""""	""""	""""
When	When	When
you	you	you
were	were	were
talking	talking	talking
to	to	to
Lucie	Lucie	_UNK
,	,	,
""""	""""	""""
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
repeated	repeated	repeated
.	.	.
""""	""""	""""
Yes	Yes	Yes
.	.	.
I	I	I
wonder	wonder	wonder
you	you	you
are	are	are
not	not	not
ashamed	ashamed	ashamed
to	to	to
mention	mention	mention
the	the	the
name	name	name
of	of	of
Lucie	Lucie	_UNK
!	!	!
Wishing	Wishing	_UNK
you	you	you
were	were	were
going	going	going
to	to	to
France	France	learn
at	at	at
this	this	this
time	time	time
of	of	of
day	day	day
!	!	!
""""	""""	""""
""""	""""	""""
However	However	However
,	,	,
I	I	I
am	am	am
not	not	not
going	going	going
,	,	,
""""	""""	""""
said	said	said
Charles	Charles	Charles
Darnay	Darnay	_UNK
,	,	,
with	with	with
a	a	a
smile	smile	smile
.	.	.
""""	""""	""""
It	It	It
is	is	is
more	more	more
to	to	to
the	the	the
purpose	purpose	purpose
that	that	that
you	you	you
say	say	say
you	you	you
are	are	are
.	.	.
""""	""""	""""
""""	""""	""""
And	And	And
I	I	I
am	am	am
,	,	,
in	in	in
plain	plain	plain
reality	reality	reality
.	.	.
The	A	A
truth	truth	truth
is	is	is
,	,	,
my	my	my
dear	dear	dear
Charles	Charles	Charles
,	,	,
""""	""""	""""
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
glanced	glanced	glanced
at	at	at
the	the	the
distant	distant	distant
House	House	House
,	,	,
and	and	and
lowered	lowered	lowered
his	his	his
voice	voice	voice
,	,	,
""""	""""	""""
you	you	you
can	can	can
have	have	have
no	no	no
conception	conception	conception
of	of	of
the	a	the
difficulty	difficulty	difficulty
with	with	with
which	which	which
our	our	our
business	business	business
is	is	is
transacted	transacted	_UNK
,	,	,
and	and	and
of	of	of
the	the	the
peril	peril	peril
in	in	in
which	which	which
our	our	our
books	books	books
and	and	and
papers	papers	papers
over	over	over
yonder	yonder	yonder
are	are	are
involved	involved	involved
.	.	.
The	The	The
Lord	Lord	Lord
above	above	above
knows	knows	knows
what	what	what
the	the	the
compromising	compromising	compromising
consequences	consequences	consequences
would	would	would
be	be	be
to	to	to
numbers	numbers	numbers
of	of	of
people	people	people
,	,	,
if	if	if
some	some	some
of	of	of
our	our	our
documents	documents	_UNK
were	were	were
seized	seized	seized
or	or	or
destroyed	destroyed	the
;	;	;
and	and	and
they	they	they
might	might	might
be	be	be
,	,	,
at	at	at
any	any	any
time	time	time
,	,	,
you	you	you
know	know	know
,	,	,
for	for	for
who	who	who
can	can	can
say	say	say
that	that	that
Paris	Paris	,
is	is	is
not	not	not
set	set	set
afire	afire	_UNK
to-day	to-day	to-day
,	,	,
or	or	or
sacked	sacked	_UNK
to-morrow	to-morrow	to-morrow
!	!	!
Now	Now	Now
,	,	,
a	a	the
judicious	judicious	_UNK
selection	selection	_UNK
from	from	from
these	these	these
with	with	with
the	the	the
least	least	least
possible	possible	possible
delay	delay	delay
,	,	,
and	and	and
the	the	the
burying	burying	_UNK
of	of	of
them	them	them
,	,	,
or	or	or
otherwise	otherwise	otherwise
getting	getting	getting
of	of	of
them	them	them
out	out	out
of	of	of
harm	harm	harm
'	'	'
s	s	s
way	way	way
,	,	,
is	is	is
within	within	within
the	the	the
power	power	power
(	(	(
without	without	without
loss	loss	loss
of	of	of
precious	precious	precious
time	time	time
)	)	)
of	of	of
scarcely	scarcely	scarcely
any	any	any
one	one	one
but	but	but
myself	myself	myself
,	,	,
if	if	if
any	any	any
one	one	one
.	.	.
And	And	And
shall	shall	shall
I	I	I
hang	hang	hang
back	back	back
,	,	,
when	when	when
Tellson	Tellson	_UNK
'	'	'
s	s	s
knows	knows	knows
this	this	this
and	and	and
says	says	says
this--Tellson	this--Tellson	_UNK
'	'	'
s	s	s
,	,	,
whose	whose	whose
bread	bread	bread
I	I	I
have	have	have
eaten	eaten	eaten
these	these	these
sixty	sixty	_UNK
years--because	years--because	_UNK
I	I	I
am	am	am
a	the	a
little	little	little
stiff	stiff	stiff
about	about	about
the	the	the
joints	joints	_UNK
?	?	?
Why	Why	Why
,	,	,
I	I	I
am	am	am
a	a	the
boy	boy	boy
,	,	,
sir	sir	sir
,	,	,
to	to	to
half	half	half
a	a	a
dozen	dozen	dozen
old	old	old
codgers	codgers	_UNK
here	here	here
!	!	!
""""	""""	""""
""""	""""	""""
How	How	How
I	I	I
admire	admire	admire
the	a	the
gallantry	gallantry	interior
of	of	of
your	your	your
youthful	youthful	youthful
spirit	spirit	spirit
,	,	,
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
Tut	Tut	_UNK
!	!	!
Nonsense	Nonsense	Nonsense
,	,	,
sir	sir	sir
!	!	!
--And	--And	_UNK
,	,	,
my	my	my
dear	dear	dear
Charles	Charles	Charles
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
glancing	glancing	glancing
at	at	at
the	the	the
House	House	House
again	again	again
,	,	,
""""	""""	""""
you	you	you
are	are	are
to	to	to
remember	remember	remember
,	,	,
that	that	that
getting	getting	getting
things	things	things
out	out	out
of	of	of
Paris	Paris	monstrous
at	at	at
this	this	this
present	present	present
time	time	time
,	,	,
no	no	no
matter	matter	matter
what	what	what
things	things	things
,	,	,
is	is	is
next	next	next
to	to	to
an	an	an
impossibility	impossibility	impossibility
.	.	.
Papers	Papers	_UNK
and	and	and
precious	precious	precious
matters	matters	matters
were	were	were
this	this	this
very	very	very
day	day	day
brought	brought	brought
to	to	to
us	us	us
here	here	here
(	(	(
I	I	I
speak	speak	speak
in	in	in
strict	strict	strict
confidence	confidence	confidence
;	;	;
it	it	it
is	is	is
not	not	not
business-like	business-like	_UNK
to	to	to
whisper	whisper	whisper
it	it	it
,	,	,
even	even	even
to	to	to
you	you	you
)	)	)
,	,	,
by	by	by
the	the	a
strangest	strangest	the
bearers	bearers	bearers
you	you	you
can	can	can
imagine	imagine	imagine
,	,	,
every	every	every
one	one	one
of	of	of
whom	whom	whom
had	had	had
his	his	his
head	head	head
hanging	hanging	hanging
on	on	on
by	by	by
a	the	a
single	single	single
hair	hair	hair
as	as	as
he	he	he
passed	passed	passed
the	the	the
Barriers	Barriers	_UNK
.	.	.
At	At	At
another	another	another
time	time	time
,	,	,
our	our	our
parcels	parcels	parcels
would	would	would
come	come	come
and	and	and
go	go	go
,	,	,
as	as	as
easily	easily	easily
as	as	as
in	in	in
business-like	business-like	_UNK
Old	Old	Old
England	England	England
;	;	;
but	but	but
now	now	now
,	,	,
everything	everything	everything
is	is	is
stopped	stopped	stopped
.	.	.
""""	""""	""""
""""	""""	""""
And	And	And
do	do	do
you	you	you
really	really	really
go	go	go
to-night	to-night	to-night
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
really	really	really
go	go	go
to-night	to-night	to-night
,	,	,
for	for	for
the	the	the
case	case	case
has	has	has
become	become	become
too	too	too
pressing	pressing	pressing
to	to	to
admit	admit	admit
of	of	of
delay	delay	delay
.	.	.
""""	""""	""""
""""	""""	""""
And	And	And
do	do	do
you	you	you
take	take	take
no	no	no
one	one	one
with	with	with
you	you	you
?	?	?
""""	""""	""""
""""	""""	""""
All	All	All
sorts	sorts	sorts
of	of	of
people	people	people
have	have	have
been	been	been
proposed	proposed	window-recess
to	to	to
me	me	me
,	,	,
but	but	but
I	I	I
will	will	will
have	have	have
nothing	nothing	nothing
to	to	to
say	say	say
to	to	to
any	any	any
of	of	of
them	them	them
.	.	.
I	I	I
intend	intend	intend
to	to	to
take	take	take
Jerry	Jerry	_UNK
.	.	.
Jerry	Jerry	_UNK
has	has	has
been	been	been
my	my	my
bodyguard	bodyguard	_UNK
on	on	on
Sunday	Sunday	Sunday
nights	nights	nights
for	for	for
a	a	a
long	long	long
time	time	time
past	past	past
and	and	and
I	I	I
am	am	am
used	used	used
to	to	to
him	him	him
.	.	.
Nobody	Nobody	Nobody
will	will	will
suspect	suspect	suspect
Jerry	Jerry	_UNK
of	of	of
being	being	being
anything	anything	anything
but	but	but
an	an	an
English	English	English
bull-dog	bull-dog	_UNK
,	,	,
or	or	or
of	of	of
having	having	having
any	any	any
design	design	_UNK
in	in	in
his	his	his
head	head	head
but	but	but
to	to	to
fly	fly	fly
at	at	at
anybody	anybody	anybody
who	who	who
touches	touches	touches
his	his	his
master	master	master
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
must	must	must
say	say	say
again	again	again
that	that	that
I	I	I
heartily	heartily	heartily
admire	admire	admire
your	your	your
gallantry	gallantry	handiwork
and	and	and
youthfulness	youthfulness	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
must	must	must
say	say	say
again	again	again
,	,	,
nonsense	nonsense	nonsense
,	,	,
nonsense	nonsense	nonsense
!	!	!
When	When	When
I	I	I
have	have	have
executed	executed	executed
this	this	this
little	little	little
commission	commission	commission
,	,	,
I	I	I
shall	shall	shall
,	,	,
perhaps	perhaps	perhaps
,	,	,
accept	accept	accept
Tellson	Tellson	_UNK
'	'	'
s	s	s
proposal	proposal	proposal
to	to	to
retire	retire	retire
and	and	and
live	live	live
at	at	at
my	my	my
ease	ease	ease
.	.	.
Time	Time	_UNK
enough	enough	enough
,	,	,
then	then	then
,	,	,
to	to	to
think	think	think
about	about	about
growing	growing	growing
old	old	old
.	.	.
""""	""""	""""
This	This	This
dialogue	dialogue	dialogue
had	had	had
taken	taken	taken
place	place	place
at	at	at
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
'	'	'
s	s	s
usual	usual	usual
desk	desk	desk
,	,	,
with	with	with
Monseigneur	Monseigneur	_UNK
swarming	swarming	_UNK
within	within	within
a	the	the
yard	yard	yard
or	or	or
two	two	two
of	of	of
it	it	it
,	,	,
boastful	boastful	_UNK
of	of	of
what	what	what
he	he	he
would	would	would
do	do	do
to	to	to
avenge	avenge	seed
himself	himself	himself
on	on	on
the	the	a
rascal-people	rascal-people	_UNK
before	before	before
long	long	long
.	.	.
It	It	It
was	was	was
too	too	too
much	much	much
the	the	the
way	way	way
of	of	of
Monseigneur	Monseigneur	_UNK
under	under	under
his	his	his
reverses	reverses	_UNK
as	as	as
a	a	the
refugee	refugee	_UNK
,	,	,
and	and	and
it	it	it
was	was	was
much	much	much
too	too	too
much	much	much
the	a	the
way	way	way
of	of	of
native	native	native
British	British	_UNK
orthodoxy	orthodoxy	_UNK
,	,	,
to	to	to
talk	talk	talk
of	of	of
this	this	this
terrible	terrible	terrible
Revolution	Revolution	_UNK
as	as	as
if	if	if
it	it	it
were	were	were
the	the	the
only	only	only
harvest	harvest	_UNK
ever	ever	ever
known	known	known
under	under	under
the	the	the
skies	skies	_UNK
that	that	that
had	had	had
not	not	not
been	been	been
sown--as	sown--as	_UNK
if	if	if
nothing	nothing	nothing
had	had	had
ever	ever	ever
been	been	been
done	done	done
,	,	,
or	or	or
omitted	omitted	omitted
to	to	to
be	be	be
done	done	done
,	,	,
that	that	that
had	had	had
led	led	led
to	to	to
it--as	it--as	learn
if	if	if
observers	observers	_UNK
of	of	of
the	a	the
wretched	wretched	wretched
millions	millions	grated
in	in	in
France	France	,
,	,	,
and	and	and
of	of	of
the	the	the
misused	misused	_UNK
and	and	and
perverted	perverted	_UNK
resources	resources	_UNK
that	that	that
should	should	should
have	have	have
made	made	made
them	them	them
prosperous	prosperous	_UNK
,	,	,
had	had	had
not	not	not
seen	seen	seen
it	it	it
inevitably	inevitably	inevitably
coming	coming	coming
,	,	,
years	years	years
before	before	before
,	,	,
and	and	and
had	had	had
not	not	not
in	in	in
plain	plain	plain
words	words	words
recorded	recorded	recorded
what	what	what
they	they	they
saw	saw	saw
.	.	.
Such	Such	Such
vapouring	vapouring	_UNK
,	,	,
combined	combined	combined
with	with	with
the	the	the
extravagant	extravagant	_UNK
plots	plots	mask
of	of	of
Monseigneur	Monseigneur	_UNK
for	for	for
the	a	a
restoration	restoration	_UNK
of	of	of
a	a	a
state	state	state
of	of	of
things	things	things
that	that	that
had	had	had
utterly	utterly	utterly
exhausted	exhausted	exhausted
itself	itself	itself
,	,	,
and	and	and
worn	worn	worn
out	out	out
Heaven	Heaven	Heaven
and	and	and
earth	earth	earth
as	as	as
well	well	well
as	as	as
itself	itself	itself
,	,	,
was	was	was
hard	hard	hard
to	to	to
be	be	be
endured	endured	_UNK
without	without	without
some	some	some
remonstrance	remonstrance	remonstrance
by	by	by
any	any	any
sane	sane	_UNK
man	man	man
who	who	who
knew	knew	knew
the	the	the
truth	truth	truth
.	.	.
And	And	And
it	it	it
was	was	was
such	such	such
vapouring	vapouring	_UNK
all	all	all
about	about	about
his	his	his
ears	ears	ears
,	,	,
like	like	like
a	the	a
troublesome	troublesome	troublesome
confusion	confusion	confusion
of	of	of
blood	blood	blood
in	in	in
his	his	his
own	own	own
head	head	head
,	,	,
added	added	added
to	to	to
a	the	the
latent	latent	doubtful
uneasiness	uneasiness	_UNK
in	in	in
his	his	his
mind	mind	mind
,	,	,
which	which	which
had	had	had
already	already	already
made	made	made
Charles	Charles	Charles
Darnay	Darnay	_UNK
restless	restless	restless
,	,	,
and	and	and
which	which	which
